Price,Location,MatchedDistricts,Description,Date,Lat,Lon,Bedrooms,Bathrooms,Apartment,WaterTank,distance
55000000.0,KANOMBE,KANOMBE_Rwanda,Ndagurisha inzu nziza cyane iri kanombe kuri cumi nagatanu 15 hafi na kaburimbo igurishwa ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu igurishwa million 55 uyishaka wa hamagara kuri tel 0784969631 whatsap 0783422422,2019-12-10,-0.030861368851248683,0.020098637437328648,4.0,3.0,0.0,0.0,36.82905529890783
60000000.0,KIMIRONKO,KIMIRONKO_Rwanda,Ndagurisha inzu nziza cyane ikomeye ifite na makorone ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu iri kimironko kwa nayinzira hafi ni shuri rya egisera igurishwa million 60 uyishaka wahamagara kuri tel 0783422422,2019-12-10,-0.011752268851248582,0.011839537437328573,4.0,3.0,0.0,0.0,16.682040339297004
35000000.0,KIMIRONKO,KIMIRONKO_Rwanda,Ndagurisha inzu ituzuye iri kimironko mwizindiro ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu igurishwa million 35 yubakishije amatafari ahiye uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,2019-12-10,-0.011752268851248582,0.011839537437328573,4.0,3.0,0.0,0.0,16.682040339297004
2500000.0,KIMIRONKO,KIMIRONKO_Rwanda,"Ndagurisha inzu yamake iri hafi nu ruganda rwa Azam ifite pariseri nini iri kumuhanda igurishwa million 2,500,000 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422",2019-12-10,-0.011752268851248582,0.011839537437328573,4.0,3.0,0.0,0.0,16.682040339297004
47000000.0,KIMIRONKO,KIMIRONKO_Rwanda,Ndagurisha inzu nziza cyane iri kanombe ku gasaraba ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu igurishwa million 47 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,2019-12-10,-0.011752268851248582,0.011839537437328573,4.0,3.0,0.0,0.0,16.682040339297004
45000000.0,KIMIRONKO,KIMIRONKO_Rwanda,Ndagurisha inzu nziza cyane iri kwa mushimire ifite chambre 4 tuwarete 2 saro saramange ni gikoni munzu igurishwa million 45 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,2019-12-10,-0.011752268851248582,0.011839537437328573,4.0,2.0,0.0,0.0,16.682040339297004
7000000.0,KIMIRONKO,KIMIRONKO_Rwanda,Ndagurisha inzu iri hafi nu ruganda rwa Azam ifite chambre 3 na saro na magaze ifite ibyangombwa ubishaka wa yongera ifite pariseri nini igurishwa million 7 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,2019-12-10,-0.011752268851248582,0.011839537437328573,3.0,3.0,0.0,0.0,16.682040339297004
13000000.0,KIMIRONKO,KIMIRONKO_Rwanda,Ndagurisha inzu nziza cyane ya make iri masizi hafi na kimironko ifite chambre 3 nini uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,2019-12-10,-0.011752268851248582,0.011839537437328573,3.0,3.0,0.0,0.0,16.682040339297004
24000000.0,KIMIRONKO,KIMIRONKO_Rwanda,Ndagurisha inzu ituzuye iri masizi hafi na kimironko ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu igurishwa million 24 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,2019-12-10,-0.011752268851248582,0.011839537437328573,4.0,3.0,0.0,0.0,16.682040339297004
40000000.0,KIMIRONKO,KIMIRONKO_Rwanda,Ndagurisha inzu nziza cyane iri masizi hafi na kimironko igurishwa million 40 ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,2019-12-10,-0.011752268851248582,0.011839537437328573,4.0,3.0,0.0,0.0,16.682040339297004
9000000.0,KIMIRONKO,KIMIRONKO_Rwanda,Ndagurisha ahantu harimo inzu ebyiri 2 inzu imwe niyubucuruzu ifite imiryango itatu 3 indi niyokubamo ifite chambre 4 tuwarete na saro muri make nimari ziri imusave hafi nu ruganda rwa Azam zigurishwa million 9 uzishaka hamagara tel 0783422422,2019-12-10,-0.011752268851248582,0.011839537437328573,4.0,3.0,0.0,0.0,16.682040339297004
42000000.0,KIMIRONKO,KIMIRONKO_Rwanda,Ndagurisha inzu nziza cyane iri masizi hafi na kimironko ifite chambre 4 tuwarete 3 saro saramange ni gikoni munzu ir' ahantu heza cyane kumuhanda igurishwa million 42 uyishaka wa duhamagara kuri tel 0784969631 whatsap 0783422422,2019-12-10,-0.011752268851248582,0.011839537437328573,4.0,3.0,0.0,0.0,16.682040339297004
